standard,module,type_name,path,leaf_name,range,cardinality,definition
mits,resident-transactions,ChargeDetail,ChargeDetail/ServiceToDate,ServiceToDate,xs:date,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/SupplementalID,SupplementalID,IdentificationType,optional,New IDType node to house additional needed ID's
mits,resident-transactions,ChargeDetail,ChargeDetail/TransactionDate,TransactionDate,xs:date,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/TransactionID,TransactionID,,optional,Specialized ID - Left as a string element.
mits,resident-transactions,ChargeDetail,ChargeDetail/UnitID,UnitID,IdentificationType,optional,Left for backwards compatibility to ver 2.0 and will be removed in future versions. SupplementalID should be used.
mits,resident-transactions,CompaniesType,CompaniesType/Company,Company,CompanyType,repeating,
mits,resident-transactions,CompanyContactType,CompanyContactType/CompanyContacts,CompanyContacts,CompanyContactsType,optional,
mits,resident-transactions,CompanyContactType,CompanyContactType/CompanyRef,CompanyRef,Identifiable,optional,
mits,resident-transactions,CompanyContactType,CompanyContactType/CompanyRole,CompanyRole,CompanyRoleType,optional,
mits,resident-transactions,CompanyContactsType,CompanyContactsType/CompanyContact,CompanyContact,CompanyPersonContactType,repeating,
mits,resident-transactions,CompanyPersonContactType,CompanyPersonContactType/PersonContactRef,PersonContactRef,Identifiable,required,
mits,resident-transactions,CompanyPersonContactType,CompanyPersonContactType/PersonContactRole,PersonContactRole,PersonCompanyRoleType,required,
mits,resident-transactions,CompanyType,CompanyType/Address,Address,AddressType,repeating,"PO Box or Street number, direction, street name, suffix"
mits,resident-transactions,CompanyType,CompanyType/CompanyName,CompanyName,StringMax50Type,required,Name of company
mits,resident-transactions,CompanyType,CompanyType/Email,Email,StringMax80Type,optional,Email address
mits,resident-transactions,CompanyType,CompanyType/Logo,Logo,StringMax100Type,optional,Logo
mits,resident-transactions,CompanyType,CompanyType/Phone,Phone,PhoneType,repeating,
mits,resident-transactions,CompanyType,CompanyType/WebSite,WebSite,StringMax100Type,optional,
