standard,module,type_name,path,leaf_name,range,cardinality,definition
mits,resident-transactions,ChargeDetail,ChargeDetail/AmountPaid,AmountPaid,xs:decimal,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/BalanceDue,BalanceDue,xs:decimal,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/BankBook,BankBook,xs:string,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/BatchID,BatchID,,optional,Specialized ID - Left as a string element.
mits,resident-transactions,ChargeDetail,ChargeDetail/BuildingID,BuildingID,IdentificationType,optional,Left for backwards compatibility to ver 2.0 and will be removed in future versions. SupplementalID should be used.
mits,resident-transactions,ChargeDetail,ChargeDetail/ChargeCode,ChargeCode,,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/Comment,Comment,,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/CustomerID,CustomerID,IdentificationType,optional,Left for backwards compatibility to ver 2.0 and will be removed in future versions. SupplementalID should be used.
mits,resident-transactions,ChargeDetail,ChargeDetail/Description,Description,,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/GLAccountNumber,GLAccountNumber,,optional,General ledger account number
mits,resident-transactions,ChargeDetail,ChargeDetail/InvoiceNumber,InvoiceNumber,,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/PaidBy,PaidBy,xs:string,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/PropertyPrimaryID,PropertyPrimaryID,IdentificationType,optional,Left for backwards compatibility to ver 2.0 and will be removed in future versions. SupplementalID should be used.
mits,resident-transactions,ChargeDetail,ChargeDetail/Reversal,Reversal,,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/ReversalDescription,ReversalDescription,,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/ReversalTranID,ReversalTranID,,optional,Specialized ID - Left as a string element.
mits,resident-transactions,ChargeDetail,ChargeDetail/Service,Service,,optional,
mits,resident-transactions,ChargeDetail,ChargeDetail/ServiceFromDate,ServiceFromDate,xs:date,optional,
